Centre,Gender,Labour Category,Labour Type,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Annual Average,State,District,Centre_length
NIZAPATNAM,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,M,"SKILLED 
LABOUR",CARPENTER,100,-,-,-,-,-,-,-,-,-,-,-,100,ANDHRA PRADESH,GUNTUR,10
NIZAPATNAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,10
CHEPPAIL,M,FIELD LABOUR,FIELD LABOUR,250,250,200,200,250,250,200,200,200,250,250,250,229.17,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,W,FIELD LABOUR,FIELD LABOUR,130,150,120,100,150,150,120,150,150,200,200,150,147.5,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,M,HERDSMEN,HERDSMEN,150,150,120,120,120,130,130,130,130,130,130,130,130.83,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",200,150,150,150,200,250,250,250,250,250,250,250,216.67,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,150,150,150,150,150,150,150,200,154.17,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,M,"SKILLED 
LABOUR",BLACKSMITH,100,100,100,100,100,100,100,100,100,100,100,150,104.17,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,M,"SKILLED 
LABOUR",CARPENTER,100,100,100,100,120,120,120,120,120,120,120,150,115.83,ANDHRA PRADESH,KARIMNAGAR,8
CHEPPAIL,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KARIMNAGAR,8
CHERLA,M,FIELD LABOUR,FIELD LABOUR,150,150,150,150,100,100,100,100,120,120,120,120,123.33,ANDHRA PRADESH,KHAMMAM,6
CHERLA,W,FIELD LABOUR,FIELD LABOUR,125,125,125,125,80,80,80,80,100,100,100,100,101.67,ANDHRA PRADESH,KHAMMAM,6
CHERLA,M,HERDSMEN,HERDSMEN,90,100,90,90,150,150,150,150,175,175,120,120,130,ANDHRA PRADESH,KHAMMAM,6
CHERLA,W,HERDSMEN,HERDSMEN,70,80,70,70,125,125,125,125,150,150,100,100,107.5,ANDHRA PRADESH,KHAMMAM,6
CHERLA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,120,120,120,120,200,200,125,125,127.5,ANDHRA PRADESH,KHAMMAM,6
CHERLA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",90,80,90,90,100,100,100,100,150,150,100,100,104.17,ANDHRA PRADESH,KHAMMAM,6
CHERLA,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,150,150,150,150,175,175,125,100,146.88,ANDHRA PRADESH,KHAMMAM,6
CHERLA,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KHAMMAM,6
CHERLA,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,200,200,200,200,220,220,150,150,192.5,ANDHRA PRADESH,KHAMMAM,6
CHERLA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KHAMMAM,6
PAMARRU,M,FIELD LABOUR,FIELD LABOUR,150,150,150,150,200,200,200,200,200,200,200,200,183.33,ANDHRA PRADESH,KRISHNA,7
PAMARRU,W,FIELD LABOUR,FIELD LABOUR,125,125,125,125,150,150,150,150,150,100,100,100,129.17,ANDHRA PRADESH,KRISHNA,7
PAMARRU,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",175,150,150,150,200,200,200,200,250,250,250,250,202.08,ANDHRA PRADESH,KRISHNA,7
PAMARRU,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",130,130,130,130,150,150,150,150,200,200,200,200,160,ANDHRA PRADESH,KRISHNA,7
PAMARRU,M,"SKILLED 
LABOUR",BLACKSMITH,125,-,-,-,-,-,-,-,-,-,-,-,125,ANDHRA PRADESH,KRISHNA,7
PAMARRU,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,7
PAMARRU,M,"SKILLED 
LABOUR",CARPENTER,150,-,-,-,-,-,-,-,-,-,-,-,150,ANDHRA PRADESH,KRISHNA,7
PAMARRU,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,7
SIRVEL,M,FIELD LABOUR,FIELD LABOUR,130,150,150,150,150,150,150,150,150,150,150,150,148.33,ANDHRA PRADESH,KURNOOL,6
SIRVEL,W,FIELD LABOUR,FIELD LABOUR,110,120,100,100,100,100,120,120,100,100,100,100,105.83,ANDHRA PRADESH,KURNOOL,6
SIRVEL,M,HERDSMEN,HERDSMEN,90,90,90,90,90,90,95,95,95,90,94,94,91.92,ANDHRA PRADESH,KURNOOL,6
SIRVEL,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KURNOOL,6
SIRVEL,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",130,150,150,150,150,150,150,150,150,150,150,150,148.33,ANDHRA PRADESH,KURNOOL,6
SIRVEL,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",110,120,100,100,100,100,120,120,100,100,100,100,105.83,ANDHRA PRADESH,KURNOOL,6
SIRVEL,M,"SKILLED 
LABOUR",BLACKSMITH,120,120,110,110,110,110,115,115,115,115,115,115,114.17,ANDHRA PRADESH,KURNOOL,6
SIRVEL,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KURNOOL,6
SIRVEL,M,"SKILLED 
LABOUR",CARPENTER,140,140,130,130,120,120,125,125,125,125,125,125,127.5,ANDHRA PRADESH,KURNOOL,6
SIRVEL,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KURNOOL,6
SANGA REDDY,M,FIELD LABOUR,FIELD LABOUR,150,150,150,150,150,150,150,150,150,150,150,150,150,ANDHRA PRADESH,MEDAK,11
SANGA REDDY,W,FIELD LABOUR,FIELD LABOUR,100,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,MEDAK,11
SANGA REDDY,M,HERDSMEN,HERDSMEN,120,120,150,150,150,150,150,150,150,150,150,150,145,ANDHRA PRADESH,MEDAK,11
SANGA REDDY,W,HERDSMEN,HERDSMEN,100,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,MEDAK,11
SANGA REDDY,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",120,120,120,120,120,120,120,120,120,120,120,120,120,ANDHRA PRADESH,MEDAK,11
SANGA REDDY,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,MEDAK,11
VELDANDA,M,FIELD LABOUR,FIELD LABOUR,100,100,100,100,120,130,150,150,150,150,150,150,129.17,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,W,FIELD LABOUR,FIELD LABOUR,80,80,80,80,100,110,120,120,120,120,120,130,105,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,M,HERDSMEN,HERDSMEN,110,110,110,110,120,120,120,120,120,120,120,120,116.67,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,W,HERDSMEN,HERDSMEN,80,80,80,80,100,100,100,100,100,100,100,100,93.33,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,150,150,150,150,150,150,150,150,133.33,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",80,80,80,80,150,150,150,150,150,140,140,150,125,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,M,"SKILLED 
LABOUR",BLACKSMITH,60,60,60,60,80,90,90,100,100,130,140,100,89.17,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,M,"SKILLED 
LABOUR",CARPENTER,70,70,80,80,100,110,110,120,120,140,150,120,105.83,ANDHRA PRADESH,MEHABUBNAGAR,8
VELDANDA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,MEHABUBNAGAR,8
ATMAKUR,M,FIELD LABOUR,FIELD LABOUR,150,150,150,150,150,170,170,150,150,150,150,150,153.33,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,W,FIELD LABOUR,FIELD LABOUR,130,130,120,120,120,140,140,120,120,120,120,120,125,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,M,HERDSMEN,HERDSMEN,110,110,110,110,110,110,110,110,110,110,110,110,110,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,W,HERDSMEN,HERDSMEN,90,90,90,90,90,90,90,90,90,90,90,90,90,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,150,150,150,150,150,150,150,150,150,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",120,120,120,120,120,120,120,120,120,120,120,120,120,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,M,"SKILLED 
LABOUR",BLACKSMITH,150,150,150,150,150,150,150,150,150,150,150,150,150,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,M,"SKILLED 
LABOUR",CARPENTER,170,170,170,170,170,170,170,170,170,170,170,170,170,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,M,"SKILLED 
LABOUR",COBBLER,130,-,-,-,-,-,-,-,-,-,-,-,130,ANDHRA PRADESH,NALGONDA,7
ATMAKUR,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,NALGONDA,7
TUMMUR,M,FIELD LABOUR,FIELD LABOUR,175,175,175,175,175,175,175,175,175,175,175,175,175,ANDHRA PRADESH,NELLORE,6
TUMMUR,W,FIELD LABOUR,FIELD LABOUR,125,125,125,125,125,125,125,125,125,125,125,125,125,ANDHRA PRADESH,NELLORE,6
TUMMUR,M,HERDSMEN,HERDSMEN,100,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,NELLORE,6
TUMMUR,W,HERDSMEN,HERDSMEN,80,80,80,80,80,80,80,80,80,80,80,80,80,ANDHRA PRADESH,NELLORE,6
TUMMUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,150,150,150,150,150,150,150,150,150,ANDHRA PRADESH,NELLORE,6
TUMMUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,NELLORE,6
CHANDOOR,M,FIELD LABOUR,FIELD LABOUR,150,130,140,140,174,200,175,150,130,150,150,130,151.58,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,W,FIELD LABOUR,FIELD LABOUR,130,110,120,120,145,160,150,130,110,130,130,110,128.75,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",175,175,175,175,175,200,200,200,200,200,225,225,193.75,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,150,160,160,160,160,160,200,200,162.5,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,M,"SKILLED 
LABOUR",BLACKSMITH,120,120,120,120,120,120,130,130,130,130,150,150,128.33,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,M,"SKILLED 
LABOUR",CARPENTER,140,140,140,140,140,140,150,150,150,150,160,160,146.67,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,M,"SKILLED 
LABOUR",COBBLER,120,120,120,120,120,120,120,120,120,120,120,120,120,ANDHRA PRADESH,NIZAMABAD,8
CHANDOOR,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,NIZAMABAD,8
KARAMCHEDU,M,FIELD LABOUR,FIELD LABOUR,-,-,140,140,160,160,160,180,180,180,180,-,164.44,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,W,FIELD LABOUR,FIELD LABOUR,-,-,120,120,140,140,140,160,160,160,160,-,144.44,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,M,HERDSMEN,HERDSMEN,120,120,120,120,120,120,120,120,120,120,120,120,120,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",120,120,120,120,120,120,120,120,120,120,120,120,120,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,M,"SKILLED 
LABOUR",BLACKSMITH,180,180,180,180,200,200,200,200,200,200,200,200,193.33,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,M,"SKILLED 
LABOUR",CARPENTER,140,140,140,140,160,160,160,160,160,160,160,160,153.33,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,M,"SKILLED 
LABOUR",COBBLER,60,60,60,60,60,60,60,60,60,60,60,60,60,ANDHRA PRADESH,PRAKASAM,10
KARAMCHEDU,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,PRAKASAM,10
MEDCHAL,M,FIELD LABOUR,FIELD LABOUR,120,120,120,120,120,120,120,120,120,120,120,120,120,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,W,FIELD LABOUR,FIELD LABOUR,90,100,100,100,100,100,100,100,100,100,100,100,99.17,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,M,HERDSMEN,HERDSMEN,90,90,90,90,100,100,-,-,-,-,-,-,93.33,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",110,120,120,120,120,120,120,120,120,120,120,120,119.17,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,100,100,100,100,100,100,100,100,100,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,M,"SKILLED 
LABOUR",BLACKSMITH,100,100,100,100,100,100,100,100,100,100,100,120,101.67,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,M,"SKILLED 
LABOUR",CARPENTER,140,160,160,160,160,160,160,160,160,160,160,150,157.5,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,M,"SKILLED 
LABOUR",COBBLER,90,100,100,100,100,100,100,100,100,100,100,140,102.5,ANDHRA PRADESH,RANGAREDDY,7
MEDCHAL,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,RANGAREDDY,7
KORASAWADA,M,FIELD LABOUR,FIELD LABOUR,200,100,200,200,250,200,160,160,150,150,150,150,172.5,ANDHRA PRADESH,SRIKAKULAM,10
KORASAWADA,W,FIELD LABOUR,FIELD LABOUR,120,120,120,120,150,130,130,130,120,120,120,120,125,ANDHRA PRADESH,SRIKAKULAM,10
KORASAWADA,M,HERDSMEN,HERDSMEN,150,150,150,150,150,150,130,130,130,130,130,130,140,ANDHRA PRADESH,SRIKAKULAM,10
KORASAWADA,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,SRIKAKULAM,10
KORASAWADA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,200,200,180,180,180,180,160,160,170,ANDHRA PRADESH,SRIKAKULAM,10
KORASAWADA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,150,150,130,130,130,130,120,130,122.5,ANDHRA PRADESH,SRIKAKULAM,10
PONUGALLU,M,FIELD LABOUR,FIELD LABOUR,160,160,180,100,160,180,160,180,180,180,160,180,165,ANDHRA PRADESH,VISAKHAPATNAM,9
PONUGALLU,W,FIELD LABOUR,FIELD LABOUR,80,80,100,80,80,100,80,80,100,100,100,130,92.5,ANDHRA PRADESH,VISAKHAPATNAM,9
PONUGALLU,M,HERDSMEN,HERDSMEN,90,90,90,60,90,90,90,90,90,90,90,90,87.5,ANDHRA PRADESH,VISAKHAPATNAM,9
