Centre,Gender,Labour Category,Labour Type,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,Annual Average,State,District,Centre_length
BUKKAPATNAM,M,"SKILLED 
LABOUR",CARPENTER,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,400.00,400.00,358.33,ANDHRA PRADESH,ANANTAPUR,11
BUKKAPATNAM,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,11
KANEKAL,M,FIELD LABOUR,FIELD LABOUR,297.00,293.00,289.00,300.00,306.00,304.00,229.00,227.00,230.00,213.00,213.00,333.00,269.50,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,FIELD LABOUR,FIELD LABOUR,238.00,232.00,227.00,242.00,248.00,245.00,200.00,200.00,183.00,163.00,153.00,300.00,219.25,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",198.00,183.00,195.00,195.00,198.00,198.00,250.00,280.00,223.00,203.00,200.00,223.00,212.17,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",195.00,165.00,190.00,190.00,195.00,195.00,-,-,195.00,195.00,150.00,195.00,186.50,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,M,"SKILLED 
LABOUR",CARPENTER,340.00,340.00,340.00,340.00,340.00,340.00,300.00,250.00,300.00,280.00,250.00,310.00,310.83,ANDHRA PRADESH,ANANTAPUR,7
KANEKAL,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,ANANTAPUR,7
GOLLAPALLI,M,FIELD LABOUR,FIELD LABOUR,300.00,-,-,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,W,FIELD LABOUR,FIELD LABOUR,240.00,350.00,350.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,240.00,258.33,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",325.00,350.00,350.00,325.00,325.00,325.00,325.00,325.00,325.00,325.00,325.00,325.00,329.17,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,M,"SKILLED 
LABOUR",BLACKSMITH,200.00,-,-,200.00,200.00,200.00,200.00,200.00,200.00,250.00,250.00,200.00,210.00,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,M,"SKILLED 
LABOUR",CARPENTER,300.00,-,-,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,ANDHRA PRADESH,CHITTOOR,10
GOLLAPALLI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,10
"PEDDA 
THIPPASAMUDRAM",M,FIELD LABOUR,FIELD LABOUR,333.00,500.00,300.00,400.00,450.00,450.00,450.00,317.00,317.00,317.00,450.00,450.00,394.50,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",W,FIELD LABOUR,FIELD LABOUR,223.00,250.00,240.00,250.00,250.00,250.00,250.00,220.00,220.00,220.00,235.00,230.00,236.50,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",400.00,500.00,325.00,500.00,450.00,450.00,450.00,400.00,400.00,400.00,450.00,450.00,431.25,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",M,"SKILLED 
LABOUR",BLACKSMITH,300.00,300.00,200.00,300.00,400.00,400.00,400.00,300.00,300.00,300.00,400.00,400.00,333.33,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",M,"SKILLED 
LABOUR",CARPENTER,400.00,400.00,300.00,400.00,450.00,450.00,450.00,400.00,400.00,400.00,450.00,450.00,412.50,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",M,"SKILLED 
LABOUR",COBBLER,250.00,250.00,-,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,ANDHRA PRADESH,CHITTOOR,21
"PEDDA 
THIPPASAMUDRAM",W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,21
THONDAMANADU FIELD LABOUR,M,"SKILLED 
LABOUR",FIELD LABOUR,-,-,400.00,-,-,-,-,350.00,-,-,-,-,375.00,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,W,"SKILLED 
LABOUR",FIELD LABOUR,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,300.00,-,-,-,-,-,-,-,-,-,300.00,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,-,-,400.00,-,-,-,-,-,-,-,-,-,400.00,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,M,"SKILLED 
LABOUR",COBBLER,-,-,250.00,-,-,-,-,-,-,-,-,-,250.00,ANDHRA PRADESH,CHITTOOR,25
THONDAMANADU FIELD LABOUR,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,CHITTOOR,25
AMBAJIPETA,M,FIELD LABOUR,FIELD LABOUR,400.00,425.00,425.00,500.00,500.00,500.00,475.00,467.00,483.00,483.00,483.00,483.00,468.67,ANDHRA PRADESH,EAST GODAVARI,10
AMBAJIPETA,W,FIELD LABOUR,FIELD LABOUR,300.00,300.00,300.00,-,250.00,250.00,250.00,250.00,275.00,275.00,275.00,275.00,272.73,ANDHRA PRADESH,EAST GODAVARI,10
KATREVULAPALLI,M,FIELD LABOUR,FIELD LABOUR,320.00,325.00,350.00,375.00,367.00,383.00,388.00,388.00,400.00,450.00,400.00,400.00,378.83,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,W,FIELD LABOUR,FIELD LABOUR,253.00,253.00,275.00,275.00,275.00,350.00,350.00,350.00,350.00,300.00,-,-,303.10,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,M,HERDSMEN,HERDSMEN,230.00,230.00,350.00,350.00,350.00,350.00,350.00,-,350.00,350.00,-,-,323.33,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,450.00,400.00,-,-,405.00,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,-,-,400.00,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,M,"SKILLED 
LABOUR",CARPENTER,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,-,-,-,-,500.00,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,M,"SKILLED 
LABOUR",COBBLER,-,-,300.00,300.00,300.00,300.00,300.00,300.00,-,-,-,-,300.00,ANDHRA PRADESH,EAST GODAVARI,14
KATREVULAPALLI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,14
KOTTHAPALLI,M,FIELD LABOUR,FIELD LABOUR,500.00,500.00,500.00,500.00,-,500.00,500.00,500.00,483.00,483.00,-,475.00,494.10,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,W,FIELD LABOUR,FIELD LABOUR,300.00,300.00,300.00,300.00,-,300.00,300.00,300.00,300.00,300.00,-,300.00,300.00,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,500.00,500.00,500.00,-,-,-,500.00,500.00,517.00,550.00,550.00,514.63,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,300.00,350.00,350.00,-,-,-,300.00,300.00,300.00,-,-,316.67,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,300.00,-,-,-,-,-,483.00,-,391.50,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,500.00,-,-,-,500.00,500.00,600.00,600.00,540.00,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,300.00,-,300.00,ANDHRA PRADESH,EAST GODAVARI,11
KOTTHAPALLI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,11
RAMPACHODAVARAM,M,FIELD LABOUR,FIELD LABOUR,200.00,250.00,250.00,250.00,175.00,175.00,-,250.00,250.00,200.00,500.00,400.00,263.64,ANDHRA PRADESH,EAST GODAVARI,15
RAMPACHODAVARAM,W,FIELD LABOUR,FIELD LABOUR,150.00,200.00,200.00,200.00,150.00,150.00,-,200.00,200.00,150.00,300.00,-,190.00,ANDHRA PRADESH,EAST GODAVARI,15
RAMPACHODAVARAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,300.00,300.00,-,-,300.00,ANDHRA PRADESH,EAST GODAVARI,15
RAMPACHODAVARAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,15
YEDIDA,M,FIELD LABOUR,FIELD LABOUR,500.00,500.00,500.00,500.00,700.00,600.00,500.00,500.00,500.00,500.00,500.00,500.00,525.00,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,W,FIELD LABOUR,FIELD LABOUR,350.00,300.00,300.00,300.00,400.00,-,300.00,300.00,300.00,300.00,300.00,-,315.00,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,M,HERDSMEN,HERDSMEN,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",450.00,450.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,491.67,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,M,"SKILLED 
LABOUR",BLACKSMITH,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,M,"SKILLED 
LABOUR",CARPENTER,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,ANDHRA PRADESH,EAST GODAVARI,6
YEDIDA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,EAST GODAVARI,6
AMARAVATHI,M,FIELD LABOUR,FIELD LABOUR,350.00,350.00,350.00,350.00,350.00,375.00,375.00,375.00,388.00,400.00,-,350.00,364.82,ANDHRA PRADESH,GUNTUR,10
AMARAVATHI,W,FIELD LABOUR,FIELD LABOUR,250.00,250.00,250.00,250.00,200.00,217.00,220.00,220.00,250.00,267.00,-,-,237.40,ANDHRA PRADESH,GUNTUR,10
AMARAVATHI,M,HERDSMEN,HERDSMEN,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,ANDHRA PRADESH,GUNTUR,10
AMARAVATHI,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,10
AMARAVATHI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",350.00,350.00,350.00,350.00,350.00,350.00,-,350.00,350.00,-,-,-,350.00,ANDHRA PRADESH,GUNTUR,10
AMARAVATHI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,10
NIZAMPATNAM,M,FIELD LABOUR,FIELD LABOUR,375.00,375.00,400.00,400.00,-,400.00,350.00,300.00,250.00,-,-,400.00,361.11,ANDHRA PRADESH,GUNTUR,11
NIZAMPATNAM,W,FIELD LABOUR,FIELD LABOUR,325.00,333.00,300.00,300.00,300.00,220.00,225.00,250.00,300.00,375.00,-,-,292.80,ANDHRA PRADESH,GUNTUR,11
NIZAMPATNAM,M,HERDSMEN,HERDSMEN,350.00,350.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,350.00,300.00,300.00,283.33,ANDHRA PRADESH,GUNTUR,11
NIZAMPATNAM,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,11
NIZAMPATNAM,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,400.00,400.00,350.00,-,400.00,400.00,-,-,-,390.00,ANDHRA PRADESH,GUNTUR,11
NIZAMPATNAM,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,11
TADIKONDA,M,FIELD LABOUR,FIELD LABOUR,275.00,300.00,293.00,300.00,300.00,365.00,365.00,355.00,383.00,350.00,350.00,375.00,334.25,ANDHRA PRADESH,GUNTUR,9
TADIKONDA,W,FIELD LABOUR,FIELD LABOUR,250.00,250.00,263.00,275.00,275.00,308.00,288.00,292.00,313.00,300.00,300.00,-,283.09,ANDHRA PRADESH,GUNTUR,9
TADIKONDA,M,HERDSMEN,HERDSMEN,275.00,300.00,300.00,275.00,275.00,325.00,325.00,325.00,325.00,325.00,325.00,323.00,308.17,ANDHRA PRADESH,GUNTUR,9
TADIKONDA,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,9
TADIKONDA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",300.00,300.00,-,300.00,300.00,350.00,350.00,350.00,350.00,-,-,-,325.00,ANDHRA PRADESH,GUNTUR,9
TADIKONDA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,M,FIELD LABOUR,FIELD LABOUR,350.00,350.00,350.00,350.00,317.00,317.00,317.00,317.00,250.00,-,300.00,300.00,319.82,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,W,FIELD LABOUR,FIELD LABOUR,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,-,-,-,200.00,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,M,HERDSMEN,HERDSMEN,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,300.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,-,-,-,387.50,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,M,"SKILLED 
LABOUR",BLACKSMITH,400.00,400.00,400.00,-,-,-,-,-,-,-,-,400.00,400.00,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,M,"SKILLED 
LABOUR",CARPENTER,400.00,400.00,400.00,-,-,-,-,-,-,-,-,400.00,400.00,ANDHRA PRADESH,GUNTUR,9
VELDURTHY,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,GUNTUR,9
GHANTASALA,M,FIELD LABOUR,FIELD LABOUR,450.00,425.00,383.00,-,400.00,388.00,390.00,375.00,300.00,300.00,-,-,379.00,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,W,FIELD LABOUR,FIELD LABOUR,300.00,300.00,300.00,400.00,350.00,275.00,300.00,300.00,300.00,325.00,-,-,315.00,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,M,HERDSMEN,HERDSMEN,250.00,250.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,291.67,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",500.00,500.00,500.00,500.00,-,500.00,-,500.00,500.00,-,-,-,500.00,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,400.00,500.00,500.00,-,-,-,-,466.67,ANDHRA PRADESH,KRISHNA,10
GHANTASALA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,10
IBRAHIMPATNAM FIELD LABOUR,M,"SKILLED 
LABOUR",FIELD LABOUR,-,488.00,480.00,488.00,475.00,458.00,492.00,-,438.00,438.00,438.00,388.00,458.30,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,W,"SKILLED 
LABOUR",FIELD LABOUR,-,367.00,363.00,367.00,360.00,340.00,370.00,-,350.00,350.00,350.00,283.00,350.00,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,M,HERDSMEN,HERDSMEN,-,-,-,400.00,-,-,-,-,-,-,-,-,400.00,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",600.00,600.00,600.00,-,600.00,600.00,500.00,-,600.00,600.00,600.00,-,588.89,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,300.00,-,-,-,-,-,300.00,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,375.00,-,-,-,-,-,-,-,-,-,-,-,375.00,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,517.00,-,-,-,-,-,-,-,-,-,-,-,517.00,ANDHRA PRADESH,KRISHNA,26
IBRAHIMPATNAM FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,26
PAMARRU,M,FIELD LABOUR,FIELD LABOUR,375.00,375.00,323.00,323.00,339.00,353.00,387.00,299.00,324.00,350.00,350.00,350.00,345.67,ANDHRA PRADESH,KRISHNA,7
PAMARRU,W,FIELD LABOUR,FIELD LABOUR,200.00,200.00,200.00,200.00,213.00,300.00,363.00,325.00,269.00,238.00,238.00,238.00,248.67,ANDHRA PRADESH,KRISHNA,7
PAMARRU,M,HERDSMEN,HERDSMEN,250.00,-,250.00,250.00,250.00,250.00,250.00,250.00,250.00,300.00,300.00,300.00,263.64,ANDHRA PRADESH,KRISHNA,7
PAMARRU,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ANDHRA PRADESH,KRISHNA,7
PAMARRU,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,ANDHRA PRADESH,KRISHNA,7
